交易類型,行政區,交易日期,地址,建物型態,移轉層次,總樓層,房型,總坪數,成交總價(萬),車位總價(萬),每坪單價(萬),含車位,車位類別,成交建案名稱,備註
預售屋,三民區,2026-01-24,高雄市三民區九如一路B05棟F14樓,住宅大樓(11層含以上有電梯),十四層,27,3房2廳2衛,48.42,2088.0,197.0,39.05,是,坡道平面,遠雄峰蘊,交易總價含下列非屬預售屋價格之費用:歐德裝修商品券費:650000元
預售屋,三民區,2026-02-01,高雄市三民區九如一路A07棟F03樓,住宅大樓(11層含以上有電梯),三層,27,3房2廳2衛,49.38,2028.0,220.0,36.61,是,坡道平面,遠雄峰蘊,含冷氣交易總價含下列非屬預售屋價格之費用:傢俱設備費；
預售屋,三民區,2026-02-04,高雄市三民區九如一路B06棟F18樓,住宅大樓(11層含以上有電梯),十八層,27,2房1廳1衛,24.55,1180.0,0.0,48.07,否,,遠雄峰蘊,
預售屋,三民區,2025-11-27,高雄市三民區平等路和延慶街路口B01棟23樓,住宅大樓(11層含以上有電梯),二十三層,30,3房2廳2衛,57.77,2875.0,240.0,45.61,是,坡道平面,遠雄琢蘊,
預售屋,鹽埕區,2026-01-20,高雄市鹽埕區建國四路,住宅大樓(11層含以上有電梯),二十一層,23,2房2廳2衛,29.17,1502.0,0.0,51.49,否,,駁二AIT,
預售屋,鹽埕區,2026-02-09,高雄市鹽埕區建國四路,住宅大樓(11層含以上有電梯),十九層,23,3房2廳2衛,57.97,2716.0,240.0,42.71,是,坡道平面,駁二AIT,
預售屋,鹽埕區,2026-02-01,高雄市鹽埕區建國四路,住宅大樓(11層含以上有電梯),十二層,23,3房2廳2衛,57.97,2540.0,240.0,39.68,是,坡道平面,駁二AIT,
預售屋,鹽埕區,2026-02-02,高雄市鹽埕區建國四路,住宅大樓(11層含以上有電梯),七層,23,1房1廳1衛,26.72,1129.0,0.0,42.25,否,,駁二AIT,
預售屋,鳳山區,2025-11-20,高雄市鳳山區中山東路,住宅大樓(11層含以上有電梯),十五層,15,2房2廳2衛,41.19,1617.0,215.0,34.04,是,坡道平面,鳳山都更好,
預售屋,苓雅區,2026-01-28,高雄市苓雅區大順三路282巷,華廈(10層含以下有電梯),四層,7,3房2廳2衛,36.06,1552.0,0.0,43.04,否,,賦御皇琚,
預售屋,橋頭區,2025-12-12,高雄市橋頭區成功南路,住宅大樓(11層含以上有電梯),十二層,15,3房2廳2衛,40.82,1610.0,180.0,35.03,是,坡道平面,橋科大極,
預售屋,楠梓區,2025-12-01,高雄市楠梓區興楠路,住宅大樓(11層含以上有電梯),八層,15,4房2廳2衛,45.42,1610.0,180.0,31.48,是,坡道平面,興.楠梓,
預售屋,楠梓區,2025-12-15,高雄市楠梓區興楠路,住宅大樓(11層含以上有電梯),二層,15,2房2廳2衛,26.63,936.0,0.0,35.15,否,,興.楠梓,
預售屋,楠梓區,2026-01-04,高雄市楠梓區興楠路,住宅大樓(11層含以上有電梯),五層,15,2房2廳2衛,34.71,1200.0,160.0,29.96,是,坡道平面,興.楠梓,
預售屋,小港區,2025-12-21,高雄市小港區坪鳳段686地號,華廈(10層含以下有電梯),四層,5,3房2廳1衛,23.41,630.0,0.0,26.91,否,,興璽智慧宅2,
預售屋,左營區,2025-11-15,高雄市左營區文育路2號八樓之2,住宅大樓(11層含以上有電梯),八層,14,3房2廳2衛,45.21,2063.0,210.0,40.99,是,坡道平面,靜 界,雨遮不計價
預售屋,左營區,2025-11-27,高雄市左營區文育路6號七樓之2,住宅大樓(11層含以上有電梯),七層,14,3房2廳2衛,45.21,1998.0,180.0,40.21,是,坡道平面,靜 界,雨遮不計價
預售屋,左營區,2025-12-14,高雄市左營區文育路2號九樓之1,住宅大樓(11層含以上有電梯),九層,14,3房2廳2衛,53.35,2558.0,230.0,43.64,是,坡道平面,靜 界,雨遮不計價
預售屋,左營區,2025-12-13,高雄市左營區文育路2號二樓,住宅大樓(11層含以上有電梯),二層,14,3房2廳2衛,56.97,2518.0,260.0,39.63,是,坡道平面,靜 界,雨遮不計價
預售屋,仁武區,2025-12-29,高雄市仁武區京富路,住宅大樓(11層含以上有電梯),五層,15,1房1廳2衛,28.19,785.0,160.0,22.17,是,坡道平面,龍騰鑫世紀,
預售屋,楠梓區,2025-11-15,高雄市楠梓區壽民路與壽民路105巷,住宅大樓(11層含以上有電梯),十四層,15,2房1廳1衛,29.79,1016.0,210.0,27.06,是,坡道平面,聯上世界極,
預售屋,楠梓區,2026-01-10,高雄市楠梓區壽民路與壽民路105巷,住宅大樓(11層含以上有電梯),十三層,15,2房1廳1衛,29.79,1015.0,210.0,27.02,是,坡道平面,聯上世界極,
預售屋,楠梓區,2026-01-24,高雄市楠梓區壽民路與壽民路105巷,住宅大樓(11層含以上有電梯),五層,15,2房1廳1衛,22.07,820.0,0.0,37.15,否,,聯上世界極,
預售屋,左營區,2025-11-11,高雄市左營區左營大路與?後街42巷,住宅大樓(11層含以上有電梯),四層,29,2房1廳1衛,27.05,843.0,0.0,31.16,否,,聯上芯城,
預售屋,左營區,2025-11-23,高雄市左營區左營大路與?後街42巷,住宅大樓(11層含以上有電梯),三層,29,2房2廳2衛,44.95,1352.0,190.0,25.85,是,坡道平面,聯上芯城,
預售屋,左營區,2025-12-18,高雄市左營區左營大路與?後街42巷,住宅大樓(11層含以上有電梯),十三層,29,2房2廳2衛,50.93,1763.0,235.0,30.0,是,坡道平面,聯上芯城,
預售屋,左營區,2026-01-09,高雄市左營區左營大路與?後街42巷,住宅大樓(11層含以上有電梯),六層,29,2房2廳2衛,50.93,1533.0,220.0,25.78,是,坡道平面,聯上芯城,
預售屋,左營區,2026-01-10,高雄市左營區左營大路與?後街42巷,住宅大樓(11層含以上有電梯),十六層,29,2房1廳1衛,29.28,1148.0,150.0,34.08,是,坡道機械,聯上芯城,
預售屋,左營區,2026-01-11,高雄市左營區左營大路與?後街42巷,住宅大樓(11層含以上有電梯),七層,29,2房2廳2衛,50.93,1561.0,220.0,26.33,是,坡道平面,聯上芯城,
預售屋,左營區,2026-02-06,高雄市左營區左營大路與?後街42巷,住宅大樓(11層含以上有電梯),二層,29,2房1廳1衛,26.38,809.0,0.0,30.67,否,,聯上芯城,
預售屋,前金區,2026-02-04,高雄市前金區成功一路,住宅大樓(11層含以上有電梯),二十五層,29,3房2廳3衛,88.27,4420.0,540.0,43.96,是,坡道平面,聯上鉑金,
預售屋,小港區,2025-12-12,高雄市小港區漢威街及港後路口,住宅大樓(11層含以上有電梯),十二層,15,3房2廳2衛,43.55,1310.0,185.0,25.83,是,坡道平面,曜．安庭,
預售屋,小港區,2026-01-03,高雄市小港區漢威街及港後路口,住宅大樓(11層含以上有電梯),十三層,15,3房2廳2衛,43.55,1345.0,205.0,26.18,是,坡道平面,曜．安庭,
